"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                Архуст,34110,Тэмээ,0.02,0.02,,,,,0,,,,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.06,0.04,0.04,0.05,0.04,0.01,0.03,0.01,0.01,0.01,0.01,0.04,0,0.001,0.002,0,0,0.004,0.006,0.007,0.01
                Архуст,34110,Хонь,24.48,24.48,,,,,11.24,11.6,14.91,16.67,17.81,19.53,21.11,22.83,23.17,25.07,27.16,27.79,31.29,32.33,32.94,22.72,22.82,24.9,24.09,23.58,24.36,29.89,29.3,28.91,29.16,21.55,17.51,16.18,15.83,18.18,26.44,26.09,30.09,36.67,16.19,17.93,19.407,24.014,29.217,29.796,32.357,34.185,32.875,32.078,30.462
                Архуст,34110,Ямаа,0.65,0.65,,,,,0.12,0.14,0.17,0.13,0.15,0.17,0.23,0.28,0.32,0.4,0.46,0.51,0.53,0.63,0.77,0.7,1.16,1.97,2.37,3.34,4.13,6.74,8.88,9.42,10.28,9.77,9.7,11.82,12.93,13.72,20.32,20.95,22.87,25.01,11.07,14.2,16.349,18.914,21.204,20.938,20.866,21.28,22.466,23.53,21.014
                    Батсүмбэр,34113,Бүгд,19.7,20.24,20.81,14.7,23.83,25.36,24.77,21.63,23.65,23.88,21,23,24.03,26.16,27.13,28.7,29.47,31.64,33,35.75,41.88,41.13,44.16,42.96,50.63,47.94,54.45,62.78,67.64,46.14,51.76,52.39,59.21,53.06,42.21,44.43,54.68,67.75,86.69,92.07,69.1,68.04,63.388,62.908,68.482,67.818,72.257,68.694,64.951,71.211,78.855
                    Батсүмбэр,34113,Адуу,3.43,3.45,3.31,3.21,3.43,3.69,3.48,2.93,2.78,2.8,2.77,2.78,2.84,2.87,2.85,3.27,3.03,3.56,3.68,4.12,4.46,5.43,5.64,5.92,6.6,6.62,6.83,7.2,7.44,5.77,6.09,6.69,7.52,6.63,5.67,4.93,4.91,5.29,6.1,6.38,6.2,6.28,5.929,6.165,6.339,6.461,7.042,7.151,7.483,8.376,9.856
                    Батсүмбэр,34113,Үхэр,5.71,6.01,6.53,,7.8,8.47,8.01,7.55,8.14,7.73,6.83,6.69,7,6.94,6.67,6.6,6.88,7.15,7.33,7.92,8.61,9.06,9.25,8.64,9.45,9.69,11.26,12.48,12.93,9.08,9.78,9.61,10.01,9.54,9.24,10.79,12.75,15.04,17.45,18.3,16.42,17.13,17.425,18.244,20.354,21.372,22.761,22.068,21.357,23.431,25.951
                    Батсүмбэр,34113,Тэмээ,,,0,0,,,,,,,,0,,,,,,0,,0,0,0,,0.01,0.04,0.03,0.03,0.02,0.01,0.02,0.03,0.03,0.04,0.04,0.03,0.04,0.03,0.02,0.03,0.03,0.03,0.02,0.016,0.015,0.012,0.013,0.014,0.012,0.011,0.018,0.02
                    Батсүмбэр,34113,Хонь,9.94,10.25,10.54,10.91,12.08,12.76,12.85,10.75,12.33,12.96,11.19,13.28,13.82,15.99,17.14,18.42,19.27,20.42,21.52,23.14,27.93,25.59,27.62,25.84,30.18,26.46,29.32,32.75,34.72,21.97,23.49,22.82,24.41,20.53,14.67,15.07,19.19,23.51,31.7,34.99,25.42,23.87,22.146,21.511,23.885,22.946,25.027,23.171,21.477,22.326,23.256
                    Батсүмбэр,34113,Ямаа,0.62,0.53,0.43,0.58,0.52,0.44,0.43,0.41,0.4,0.38,0.21,0.24,0.38,0.37,0.48,0.42,0.28,0.52,0.48,0.57,0.88,1.05,1.64,2.54,4.37,5.16,7.01,10.32,12.55,9.31,12.36,13.25,17.22,16.31,12.61,13.6,17.81,23.9,31.42,32.37,21.04,20.76,17.872,16.973,17.892,17.026,17.413,16.292,14.623,17.06,19.772
                    Баян,34116,Бүгд,78.81,75.46,78.35,77.29,89.44,90.33,70.25,53.73,60.99,64.87,65.4,69.95,72.63,67.36,61.95,61.96,63.22,60.49,58.04,60.06,65.77,55.79,62.3,67.67,52.96,55.61,60.09,67.77,78.16,80,67.11,28.78,28.56,34.34,39.27,50.02,60.87,62.97,63.19,89.62,53.17,62.18,75.361,86.619,110.593,137.132,151.271,166.449,167.548,159.767,154.853
