"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                Арвайхээр,26201,Ямаа,0.66,0.6,0.81,0.97,0.91,0.93,0.82,1.11,0.54,0.46,0.45,0.7,0.7,1.06,1.7,2.2,2.3,3.11,3.95,6.98,10.78,8.72,10.18,13.5,15.86,16.14,10.26,14.06,12.88,9.47,10.64,8.06,10.14,14.78,17.96,19.32,26.06,41.18,56.16,52.35,25.16,37.8,58.633,72.661,91.139,90.426,110.328,115.444,103.565,106.8,104.342
                Баруунбаян-Улаан,26204,Бүгд,65.45,62.39,67.14,66.45,69.23,71.02,72.4,75.17,78.73,78.99,80,80.4,88.11,90.37,85.04,79.18,79.64,78.1,75.62,80.76,83.32,86.03,84.98,94.1,104.69,117.06,116.54,120.13,128.9,132.81,126.32,76.67,46.22,60.21,72.39,81.18,94.77,117.86,135.97,149.42,105.86,119.06,137.468,155.817,172.555,181.937,207.036,220.24,191.491,198.547,125.196
                Баруунбаян-Улаан,26204,Адуу,6.19,5.61,5.82,5.72,5.68,5.66,5.38,5.6,5.46,5.56,5.45,5.47,5.85,6.1,5.88,5.09,5.17,5.15,5.02,5.22,5.37,5.47,5.96,6.64,7.53,8.46,8.96,9.21,9.92,10.87,10.46,4.66,1.7,2.09,2.24,2.35,2.69,3.12,3.54,3.71,3.45,3.82,4.246,4.923,5.742,6.332,7.072,7.567,7.087,6.867,3.329
                Баруунбаян-Улаан,26204,Үхэр,2.03,2.01,2.24,2.39,2.42,2.5,2.55,2.64,2.8,2.87,2.51,2.35,2.53,2.74,2.69,2.42,2.42,2.45,2.58,2.78,3.16,3.56,3.95,4.4,4.92,5.52,5.38,4.83,4.9,5.5,4.36,1.15,0.36,0.39,0.56,0.68,0.88,1.16,1.4,1.57,1.44,1.63,2.113,2.602,3.229,3.792,4.544,5.093,4.038,4.218,2.751
                Баруунбаян-Улаан,26204,Тэмээ,5.04,5.05,5.07,5.21,5.31,5.52,5.67,5.75,5.88,6.05,5.86,5.91,5.72,5.95,5.75,5.33,5.27,5.19,4.95,5.13,4.98,4.29,3.34,2.85,2.61,2.48,2.37,2.3,2.29,2.4,2.43,2.11,1.45,1.54,1.53,1.56,1.58,1.67,1.72,1.85,2.11,2.16,2.258,2.459,2.866,2.887,3.331,3.704,3.956,4.007,2.637
                Баруунбаян-Улаан,26204,Хонь,34.2,31.99,34.79,34.4,36.15,35.95,36.6,38.63,38.79,38.52,40.01,40.44,44.04,45.6,43.75,41.79,40.12,39.55,38.68,40.09,42.17,41.35,38.61,40.54,43.42,45.19,41.86,42.13,44.8,47.69,46.08,26.9,14.85,16.94,19.96,23.17,26.97,32.98,38.46,44.22,33.54,37.12,44.355,52.27,58.87,63.864,75.623,82.738,73.051,74.45,46.383
                Баруунбаян-Улаан,26204,Ямаа,17.99,17.73,19.22,18.74,19.67,21.41,22.2,22.54,25.8,25.99,26.16,26.23,29.97,29.98,26.98,24.55,26.66,25.76,24.39,27.55,27.65,31.37,33.12,39.68,46.21,55.42,57.98,61.65,67,66.35,62.99,41.86,27.87,39.25,48.1,53.42,62.66,78.93,90.85,98.08,65.31,74.33,84.496,93.563,101.848,105.062,116.466,121.138,103.359,109.005,70.096
                Бат-Өлзий,26207,Бүгд,63.53,62.95,64.87,65.77,67.01,69.9,70.07,71.46,74.01,73.11,72.19,79.3,83.92,75.64,73.1,68.23,64.21,65.71,67.14,70.28,75.31,71.96,70.9,61.89,67.38,75.97,77.47,82.7,91.47,104.92,89.24,72.29,69.18,81.17,82.19,87.25,101.95,116.09,138.37,154.01,87.35,110.6,135.968,165.579,187.404,208.503,248.404,282.274,300.629,335.569,263.432
                Бат-Өлзий,26207,Адуу,7.78,7.48,7.4,7.23,7.37,7.4,7.52,7.57,7.62,7.09,6.51,6.59,6.71,6.62,6.72,6.55,6.61,6.7,6.97,7.5,8.19,8.44,8.9,8.89,9.98,11.59,12.5,13.09,13.98,15.64,13.31,10.46,9.98,11.5,10.93,10.57,11.3,11.24,12.8,14.01,7.96,10.05,11.918,14.156,15.823,18.156,22.05,26.895,30.108,33.892,29.847
                Бат-Өлзий,26207,Үхэр,10.75,10.96,11.31,11.81,12.51,13.27,13.42,13.79,14.02,13.59,12.77,13.07,13.64,13.44,13.95,14.56,15.06,14.82,14.96,15.23,16.44,16.83,17.18,16.48,18.48,20.93,21.84,23.39,25.33,28.7,23.05,16.31,13.31,14.65,14.97,15.29,16.88,20.17,21.78,24.57,11.05,14.03,17.061,20.905,23.967,28.43,35.839,41.817,44.988,52.279,46.67
                Бат-Өлзий,26207,Тэмээ,0.13,0.12,0.12,0.13,0.14,0.13,0.12,0.13,0.1,0.11,0.13,0.14,0.18,0.15,0.13,0.11,0.1,0.13,0.12,0.13,0.11,0.07,0.05,0.03,0.02,0.01,0.01,0.01,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
                Бат-Өлзий,26207,Хонь,39.39,38.76,40.11,40.88,41.51,43.08,43.01,43.79,45.36,45.16,45.94,51.31,54.35,48.08,46.15,41.63,37.33,38.8,39.74,41.7,44.46,40.43,38.76,30.19,30.97,33.02,31.81,32.99,35.99,40.9,34.23,28.11,27.26,28.62,29.6,32.6,39.84,44.27,52.47,60.01,33.03,41.35,52.357,65.517,74.713,85.591,103.864,118.283,125.466,140.026,109.053
                Бат-Өлзий,26207,Ямаа,5.48,5.64,5.93,5.72,5.48,6.03,6.01,6.18,6.91,7.16,6.85,8.19,9.05,7.35,6.16,5.38,5.11,5.26,5.35,5.72,6.12,6.2,6.01,6.3,7.94,10.42,11.31,13.23,16.17,19.69,18.65,17.41,18.63,26.4,26.69,28.78,33.93,40.41,51.31,55.42,35.31,45.16,54.632,65.001,72.901,76.326,86.651,95.279,100.067,109.372,77.862
                Баянгол,26210,Бүгд,140.13,136.83,147.09,151.72,152.85,156.32,160.63,162.87,153.09,156.13,161.48,159.1,169.58,133.79,138.51,136.09,143.25,145.87,146.24,165.81,177.03,184.72,195.18,196.54,200.28,214.97,208.02,237.5,263.31,237.42,144.88,157.39,174.61,197.54,221.48,213.68,238.84,276.92,304.43,288.29,97.92,130.9,171.539,216.946,268.004,315.28,369.215,426.123,420.06,387.856,311.441
                Баянгол,26210,Адуу,17.61,13.2,14.21,14.1,13.34,13.36,13.78,14.38,13.91,13.94,13.49,12.33,12.59,9.55,9.47,9.08,9.22,8.61,9.26,9.78,10.54,10.23,10.3,11.87,13.22,14.8,14.43,16.5,18.54,17.35,7.78,8.58,8.99,8.59,9.28,8.77,9.05,9.95,11.42,9.82,2.94,3.93,5.296,6.782,8.633,10.707,12.815,15.176,15.284,15.598,13.123
                Баянгол,26210,Үхэр,5.22,4.19,4.48,4.74,5.16,5.28,5.71,6.09,6.3,6.28,6.31,5.1,4.76,3.81,3.57,3.53,3.54,3.81,4.06,4.34,4.63,5.2,5.53,6.47,6.91,8.12,6.87,7.21,8.6,7.63,2.12,1.53,1.89,2.42,2.82,2.81,2.81,3.3,3.97,3.36,1.04,1.34,2.016,2.799,3.94,5.047,6.242,7.599,6.93,6.377,5.618
