"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                Баян-Уул,42110,Ямаа,13.39,0.71,0.62,0.74,0.81,0.87,0.89,1.01,1.05,1.05,0.97,1.19,1.11,1.33,1.4,1.1,1,0.97,0.96,1.11,0.99,0.81,1.42,1.42,1.92,2.05,2.8,3.82,4.69,5.64,6.38,7.25,9.52,11.43,12.31,13.8,17.14,21.5,26.55,26.7,18.98,19.14,20.96,21.972,24.534,26.583,26.343,29.112,33.716,41.497,47.913
                    Булган,42113,Бүгд,71.47,75.5,72.32,79.23,75.44,75.21,70.97,71.44,82.94,83.52,63.18,69.85,65.48,50.68,48.59,53.92,50.12,52.99,60.09,62.29,57.42,49.92,46.51,43.68,37.62,34.98,34.06,38.78,42.85,45.54,44.58,42.82,43.9,44.53,49.83,54.44,67.57,77.43,84.56,75.19,65.09,70.11,74.805,76.414,86.206,94.51,103.629,135.561,174.263,208.726,221.617
                    Булган,42113,Адуу,9.04,9.66,9.81,10.46,9.32,9.64,9.02,8.44,7.67,7.52,5.32,5.63,4.84,4.65,4.54,4.61,4.67,4.82,4.86,5.03,4.77,4.66,4.84,5.16,5.39,5.43,5.06,5.53,5.64,5.99,6.21,6.93,6.83,7.4,7.79,8.01,9.09,10.18,10.63,9.86,9.13,10.09,11.174,12.46,13.067,13.426,15.471,19.97,23.487,26.254,31.076
                    Булган,42113,Үхэр,5.57,5.82,5.48,5.45,6.02,6.19,5.68,5.63,5.85,5.56,4.75,5.06,4.68,3.76,3.89,4.08,4.03,4.22,4.41,4.51,4.39,4.46,4.7,5.06,5.14,5.5,5.68,6.56,7.48,8.21,7.44,4.4,4.76,4.34,4.26,4,4.78,5.32,5.54,5.98,5.25,5.36,6.21,6.989,8.004,8.975,9.267,12.091,15.114,18.77,19.667
                    Булган,42113,Тэмээ,1.52,1.57,1.61,1.74,1.66,1.74,1.69,1.81,1.86,1.85,1.62,1.75,1.67,1.65,1.56,1.58,1.53,1.46,1.57,1.55,1.31,1.12,0.84,0.75,0.69,0.63,0.55,0.52,0.5,0.47,0.45,0.43,0.45,0.44,0.44,0.46,0.46,0.5,0.5,0.49,0.45,0.39,0.358,0.363,0.315,0.326,0.36,0.402,0.396,0.382,0.413
                    Булган,42113,Хонь,53.22,55.71,52.62,58.14,56.2,55.24,52.05,52.79,64.46,65.38,48.97,54.19,51.8,38.83,36.65,41.42,37.61,40.1,46.75,48.48,44.44,37.33,33.57,29.86,23.21,19.71,18.48,20.54,22.31,23.78,23.1,22.81,21.54,20.96,23.69,26.26,31.29,33.12,36.15,35.46,31.46,33.16,34.199,34.426,38.673,43.123,47.457,63.345,83.106,100.158,106.488
                    Булган,42113,Ямаа,2.12,2.74,2.8,3.43,2.25,2.4,2.52,2.78,3.1,3.21,2.52,3.22,2.48,1.79,1.95,2.25,2.28,2.4,2.5,2.73,2.52,2.35,2.56,2.85,3.19,3.71,4.29,5.62,6.92,7.1,7.38,8.25,10.32,11.4,13.66,15.71,21.95,28.32,31.73,23.4,18.81,21.1,22.864,22.176,26.147,28.66,31.074,39.753,52.16,63.162,63.973
                    Гурванзагал,42116,Бүгд,48.85,49.66,50.42,53.84,51.12,52.55,45.63,47.07,49.04,51.29,49.67,56.84,51.88,42.12,43.83,47.15,42.49,43.46,42.07,42.09,43.69,36.05,31.1,25.35,20.45,17,17.99,20.98,23.59,26.47,28.17,25.85,29.03,33.61,34.04,41.57,49.08,65.09,74.37,67.36,57.82,62.71,70.728,74.605,86.228,97.432,111.22,138.952,157.91,175.187,179.544
                    Гурванзагал,42116,Адуу,4.27,4.49,4.6,4.75,4.77,4.65,4.38,4.8,3.73,3.72,3.27,3.34,3.3,3.2,3.21,3.25,3.11,2.98,3.05,2.85,2.85,2.93,2.93,3.08,3.32,3.41,3.52,3.8,4.16,4.51,4.74,4.78,5.42,6.23,6.69,7.39,7.51,8.28,9.09,7.88,8.47,8.9,9.49,10.074,10.908,12.62,14.105,15.745,17.946,19.115,19.266
                    Гурванзагал,42116,Үхэр,4.31,4.41,4.25,4.45,4.49,4.63,4.47,4.73,5.09,5.11,4.99,5.52,5.17,4.18,4.15,4.27,4.25,4.31,4.47,4.51,4.39,4.44,4.44,4.28,3.98,3.84,4.13,4.8,5.39,5.98,6.37,4.91,4.76,5.55,5.15,5.51,5.72,6.49,7.05,5.5,4.9,5,5.578,6.248,7.04,8.137,8.645,10.898,12.5,14.043,15.132
                    Гурванзагал,42116,Тэмээ,0.63,0.64,0.64,0.68,0.7,0.73,0.64,0.57,0.5,0.53,0.49,0.51,0.48,0.5,0.49,0.49,0.39,0.36,0.37,0.37,0.28,0.27,0.28,0.24,0.25,0.23,0.21,0.2,0.21,0.22,0.22,0.23,0.22,0.24,0.23,0.24,,0.28,0.25,0.24,0.23,0.25,0.198,0.204,0.231,0.372,0.373,0.486,0.342,0.36,0.347
                    Гурванзагал,42116,Хонь,35.75,35.93,36.28,39.18,36.25,37.15,31.8,32.29,34.22,36.33,36.25,42.12,38.73,30.58,32.76,35.92,31.52,32.5,30.56,31.02,33.1,26.12,21.36,15.74,10.59,7.33,7.59,8.84,9.69,11.33,12.18,11.09,12.2,12.95,13.04,16.36,20.04,26.52,30.93,30.44,27.91,28.52,32.786,35.529,40.763,46.278,54.239,69.122,77.177,85.902,88.388
